taxon_id	speciesName	order	family	genus	redlistCategory	rl_cat	habitat_breadth	gestation_length	weaning_age	criterionB	rl_cat	threatened_status	range_size	patch_matrix	continuum_p5	continuum_p10	continuum_p50	continuum_p90	continuum_p95	hybrid_p5	hybrid_p10	hybrid_p50	hybrid_p90	hybrid_p95	realm
42641	Abditomys latidens	Rodentia	Muridae	Abditomys	Data Deficient	DD	2	35.373	27.621	0	DD	Data deficient	795	0	1.21779E-08	6.85307E-08	0.000108545	0.006724058	0.008331108						Indomalayan
17879	Abeomelomys sevia	Rodentia	Muridae	Abeomelomys	Least Concern	LC	2	36.734	36.87	0	LC	Non-threatened	9746	0.017648266	5.41878E-05	0.000113876	0.003903229	0.051854294	0.074936925	0.176831056	0.179450049	0.193679452	0.204065588	0.205454748	Australasia
47761700	Abrawayaomys chebezi	Rodentia	Cricetidae	Abrawayaomys	Data Deficient	DD	1			0	DD	Data deficient	53034	0.005298488	1.79751E-06	5.85235E-06	0.000156922	0.005092437	0.009961413	0.030707728	0.036394812	0.064754248	0.116350815	0.125200361	Neotropic
47760825	Abrawayaomys ruschii	Rodentia	Cricetidae	Abrawayaomys	Least Concern	LC	1	25.626	23.94	0	LC	Non-threatened	50982	0.026205327	2.70858E-07	6.79953E-06	0.000458084	0.008762818	0.024022501	0.053279955	0.060509617	0.153032117	0.323307469	0.407362737	Neotropic
42656	Abrocoma bennettii	Rodentia	Abrocomidae	Abrocoma	Least Concern	LC	2	98.875	4.988	0	LC	Non-threatened	125218	0.144348257	5.38739E-07	1.25775E-05	0.006108753	0.147318226	0.275814159	0.0961773	0.109824254	0.199089155	0.385057354	0.473774937	Neotropic
18	Abrocoma boliviensis	Rodentia	Abrocomidae	Abrocoma	Critically Endangered	CR	2	97.8	32.992	1	CR	Threatened	66	0	0.000174803	0.000278521	0.001019966	0.004290567	0.005462311						Neotropic
136334	Abrocoma budini	Rodentia	Abrocomidae	Abrocoma	Data Deficient	DD	2	112.269	41.966	0	DD	Data deficient	406	0.389162562	0.001363467	0.004584721	0.039644236	0.182231128	0.22946962	0.105699356	0.112965439	0.140413679	0.240970807	0.256047268	Neotropic
42657	Abrocoma cinerea	Rodentia	Abrocomidae	Abrocoma	Least Concern	LC	2	112.269	39.992	0	LC	Non-threatened	523546	0.2148178	8.73989E-05	0.000262075	0.014806349	0.307368532	0.551819488	0.107134832	0.121354699	0.289853513	0.730602026	0.79534629	Neotropic
136367	Abrocoma famatina	Rodentia	Abrocomidae	Abrocoma	Data Deficient	DD	2	112.269	39.511	0	DD	Data deficient	3329	0.667167318	0.011227403	0.037883636	0.357060045	0.828224552	0.847061527	0.19168818	0.24915342	0.454882354	0.838930428	0.855605483	Neotropic
136525	Abrocoma shistacea	Rodentia	Abrocomidae	Abrocoma	Least Concern	LC	2	112.269	37.684	0	LC	Non-threatened	5512	0.499637155	0.000860054	0.005630683	0.112263132	0.319734609	0.346693431	0.116633448	0.136464891	0.180274576	0.346729246	0.359754978	Neotropic
136302	Abrocoma uspallata	Rodentia	Abrocomidae	Abrocoma	Data Deficient	DD	3	97.388	33.16	0	DD	Data deficient	12	0	0.003272557	0.003324176	0.005776153	0.010713993	0.010836916						Neotropic
136546	Abrocoma vaccarum	Rodentia	Abrocomidae	Abrocoma	Data Deficient	DD	1	112.269	42.32	0	DD	Data deficient	38	0	0.013445354	0.013682803	0.016024191	0.025781319	0.025965432						Neotropic
4803	Abrothrix andinus	Rodentia	Cricetidae	Abrothrix	Least Concern	LC	2	23.79	23.8	0	LC	Non-threatened	607334	0.307504602	0.000178161	0.000660462	0.033535611	0.524008554	0.73239857	0.118851765	0.141660318	0.360694647	0.79395467	0.857262957	Neotropic
735	Abrothrix illutea	Rodentia	Cricetidae	Abrothrix	Least Concern	LC	1	24.592	23.116	0	LC	Non-threatened	56570	0.154127629	2.64195E-06	2.98502E-05	0.013435616	0.141416913	0.223085083	0.102378286	0.111429708	0.161660731	0.352115846	0.380669418	Neotropic
4804	Abrothrix jelskii	Rodentia	Cricetidae	Abrothrix	Least Concern	LC	5	23.524	21.436	0	LC	Non-threatened	492491	0.094761123	5.58224E-05	0.000147432	0.005082553	0.095231131	0.235437527	0.095578414	0.109267327	0.248919412	0.708697319	0.780940235	Neotropic
740	Abrothrix lanosus	Rodentia	Cricetidae	Abrothrix	Least Concern	LC	2	23.826	22.662	0	LC	Non-threatened	40358	0.443530403	0.001575656	0.003194829	0.091435477	0.829633826	0.937195739	0.130436178	0.160357781	0.413510248	0.945282173	0.96722126	Neotropic
743	Abrothrix longipilis	Rodentia	Cricetidae	Abrothrix	Least Concern	LC	5	21.92	21.35	0	LC	Non-threatened	717989	0.201950169	1.90021E-05	0.000127415	0.024182167	0.243016279	0.392494196	0.119691103	0.134345852	0.238763228	0.740087247	0.8736137	Neotropic
114955961	Abrothrix manni	Rodentia	Cricetidae	Abrothrix	Least Concern	LC	2			0	LC	Non-threatened	45026	0.092057922	2.41072E-06	8.13717E-06	0.001666377	0.080086626	0.178435974	0.086000034	0.104515517	0.193666741	0.349644536	0.390702313	Neotropic
751	Abrothrix olivaceus	Rodentia	Cricetidae	Abrothrix	Least Concern	LC	3	24.377	23.464	0	LC	Non-threatened	1082410	0.225710221	3.80151E-05	0.000243534	0.025506319	0.387989733	0.605868042	0.1221852	0.139382869	0.34718588	0.925536454	0.985248864	Neotropic
754	Abrothrix sanborni	Rodentia	Cricetidae	Abrothrix	Near Threatened	NT	1	25.58	24.696	1	NT	Non-threatened	4484	0.077386262	0.000223607	0.000448171	0.030422164	0.09242086	0.32205881	0.188991819	0.199133924	0.344185472	0.427995896	0.451410747	Neotropic
137	Acerodon celebensis	Chiroptera	Pteropodidae	Acerodon	Vulnerable	VU	3	157.26	145.912	0	VU	Threatened	175878	0.004855639	1.43071E-06	1.13652E-05	0.00419595	0.018700005	0.033905332	0.082724699	0.130196609	0.376817107	0.539778894	0.572802931	Australasia
138	Acerodon humilis	Chiroptera	Pteropodidae	Acerodon	Endangered	EN	1	144.65	132.285	1	EN	Threatened	813	0	1.52635E-05	3.355E-05	0.000546109	0.002459874	0.002536881						Australasia
139	Acerodon jubatus	Chiroptera	Pteropodidae	Acerodon	Endangered	EN	2	166.645	146.257	0	EN	Threatened	143554	0.044770609	6.47887E-08	5.03353E-07	0.000309401	0.031589071	0.080814741	0.082151348	0.093940189	0.151561603	0.32394442	0.348665527	Indomalayan
140	Acerodon leucotis	Chiroptera	Pteropodidae	Acerodon	Vulnerable	VU	2	143.74	121.6	0	VU	Threatened	12506	0.007276507	1.34489E-05	4.8618E-05	0.001874506	0.021640341	0.036438904	0.074989375	0.102261253	0.115789808	0.121758133	0.122312732	Indomalayan
142	Acerodon mackloti	Chiroptera	Pteropodidae	Acerodon	Vulnerable	VU	2	151.431	135.821	0	VU	Threatened	73484	0.000762071	9.10651E-07	2.78114E-06	0.000216475	0.005000093	0.006904615	0.033781567	0.036066936	0.064873636	0.073421031	0.074054172	Australasia
219	Acinonyx jubatus	Carnivora	Felidae	Acinonyx	Vulnerable	VU	6	9.12	17	0	VU	Threatened	2957863	0.397924447	0.000342048	0.001316593	0.059457507	0.968565822	0.999813855	0.132822994	0.161426373	0.682429075	1	1	Afrotropic
44936	Acomys airensis	Rodentia	Muridae	Acomys	Least Concern	LC	5	38	14	0	LC	Non-threatened	1835415	0.699352463	0.001106827	0.006409792	0.852820754	1	1	0.215414249	0.367918912	0.988797873	1	1	Afrotropic
263	Acomys cahirinus	Rodentia	Muridae	Acomys	Least Concern	LC	3	38	14	0	LC	Non-threatened	4033954	0.671791002	0.000421993	0.00358833	0.447193176	0.999740124	1	0.188454896	0.26247409	0.862102121	1	1	Palearctic
264	Acomys cilicicus	Rodentia	Muridae	Acomys	Data Deficient	DD	2	33.712	21.53	0	DD	Data deficient	17	0	9.31513E-09	1.09873E-08	2.30179E-08	8.11727E-07	1.02639E-06						Palearctic
265	Acomys cineraceus	Rodentia	Muridae	Acomys	Least Concern	LC	5	38	14	0	LC	Non-threatened	1051943	0.017435355	4.2772E-06	1.45878E-05	0.001362165	0.02942104	0.053418444	0.100927375	0.11146038	0.1647567	0.352151275	0.423873544	Afrotropic
136471	Acomys dimidiatus	Rodentia	Muridae	Acomys	Least Concern	LC	7	38	14	0	LC	Non-threatened	1562319	0.26001156	3.44101E-07	2.01976E-05	0.019790469	0.32270031	0.431719422	0.121538438	0.138293475	0.214508235	0.735985219	0.862954676	Palearctic
266	Acomys ignitus	Rodentia	Muridae	Acomys	Least Concern	LC	2	38	14	0	LC	Non-threatened	105757	0.135376382	5.56934E-07	3.15291E-06	0.002496645	0.152710822	0.227507082	0.084385678	0.113056374	0.188116148	0.402778494	0.464273828	Afrotropic
44938	Acomys johannis	Rodentia	Muridae	Acomys	Least Concern	LC	3	38	14	0	LC	Non-threatened	428679	0.00023794	7.26926E-07	2.01103E-06	0.000115735	0.006066357	0.012155956	0.038921932	0.044132536	0.085480239	0.129183862	0.134736256	Afrotropic
267	Acomys kempi	Rodentia	Muridae	Acomys	Least Concern	LC	2	38	14	0	LC	Non-threatened	570333	0.104882586	1.12658E-05	3.95234E-05	0.003350205	0.123270299	0.20358341	0.117741539	0.133600143	0.198338062	0.41277816	0.500656596	Afrotropic
268	Acomys louisae	Rodentia	Muridae	Acomys	Least Concern	LC	3	33.973	28.115	0	LC	Non-threatened	692200	0.029647501	6.63862E-06	2.52558E-05	0.001555503	0.032830856	0.063676365	0.084289621	0.094557906	0.133752346	0.341431421	0.410808989	Afrotropic
269	Acomys minous	Rodentia	Muridae	Acomys	Data Deficient	DD	2	38	14	0	DD	Data deficient	8159	0.007353842	7.05891E-09	6.69953E-08	1.45374E-05	0.000424846	0.001391517	0.060415858	0.065712357	0.080664609	0.131016813	0.134746011	Palearctic
270	Acomys mullah	Rodentia	Muridae	Acomys	Least Concern	LC	2	38	14	0	LC	Non-threatened	161045	0.013468285	1.40506E-05	8.7367E-05	0.00346072	0.030018232	0.049265833	0.074333575	0.082452591	0.115379386	0.246666726	0.456022525	Afrotropic
47806447	Acomys muzei	Rodentia	Muridae	Acomys	Least Concern	LC	2	34.57	24.825	0	LC	Non-threatened	475168	0.094105664	1.17085E-06	4.38609E-06	0.002422914	0.104122725	0.225327278	0.119872632	0.139600545	0.238798037	0.431526244	0.600333452	Afrotropic
47806534	Acomys ngurui	Rodentia	Muridae	Acomys	Least Concern	LC	1	34.179	25.45	0	LC	Non-threatened	262804	0.109492245	3.63609E-06	1.70907E-05	0.003391046	0.131922585	0.242508595	0.110648472	0.12786893	0.220122769	0.634433842	0.766937333	Afrotropic
272	Acomys percivali	Rodentia	Muridae	Acomys	Least Concern	LC	3	38.654	23.848	0	LC	Non-threatened	216221	0.053130824	7.30044E-05	0.000226688	0.005754146	0.069480091	0.114484683	0.106539433	0.118994326	0.170674704	0.370613045	0.395703951	Afrotropic
273	Acomys russatus	Rodentia	Muridae	Acomys	Least Concern	LC	1	34.393	22.24	0	LC	Non-threatened	703461	0.23249903	6.57567E-07	1.76633E-05	0.015654705	0.35611254	0.484548777	0.122665806	0.13831668	0.308047011	0.835027736	0.922454342	Palearctic
47806307	Acomys selousi	Rodentia	Muridae	Acomys	Least Concern	LC	3	34.236	25.549	0	LC	Non-threatened	259473	0.076343203	9.51501E-07	1.59993E-05	0.002824896	0.057594714	0.103488132	0.05862352	0.069010052	0.12293075	0.253317755	0.282105833	Afrotropic
44939	Acomys seurati	Rodentia	Muridae	Acomys	Least Concern	LC	2	38	14	0	LC	Non-threatened	300211	0.824540073	0.027934978	0.108038507	0.779003918	0.998977065	1	0.224659305	0.344020113	0.846428812	0.999878019	1	Palearctic
47805694	Acomys spinosissimus	Rodentia	Muridae	Acomys	Least Concern	LC	2	34.236	25.549	0	LC	Non-threatened	101797	0.025560675	1.75615E-06	3.60859E-06	0.000267712	0.020268538	0.051564198	0.093274933	0.103731843	0.149131328	0.312134832	0.340989979	Afrotropic
275	Acomys subspinosus	Rodentia	Muridae	Acomys	Least Concern	LC	2	28.387	23.972	0	LC	Non-threatened	94482	0.01511399	1.91514E-06	1.57901E-05	0.002098752	0.022893763	0.033691407	0.041390334	0.059356096	0.095299918	0.201353842	0.221095648	Afrotropic
276	Acomys wilsoni	Rodentia	Muridae	Acomys	Least Concern	LC	3	38.827	21.879	0	LC	Non-threatened	1372130	0.05576148	1.72108E-06	8.12024E-06	0.001886698	0.056160234	0.125650598	0.103285141	0.121443201	0.188774645	0.409143886	0.492626092	Afrotropic
278	Aconaemys fuscus	Rodentia	Octodontidae	Aconaemys	Least Concern	LC	2	91.382	32.794	0	LC	Non-threatened	31996	0.17680335	3.38805E-05	0.000162285	0.015782344	0.2036561	0.313463077	0.111741379	0.124456176	0.232073441	0.367377943	0.392370152	Neotropic
136331	Aconaemys porteri	Rodentia	Octodontidae	Aconaemys	Data Deficient	DD	2	89.436	33.562	0	DD	Data deficient	22694	0.095179343	0.000170313	0.000720768	0.020050379	0.09443192	0.166176119	0.072841993	0.102036052	0.169803306	0.357479772	0.415914923	Neotropic
279	Aconaemys sagei	Rodentia	Octodontidae	Aconaemys	Data Deficient	DD	2	88.19	31.597	0	DD	Data deficient	40562	0.065184163	3.67654E-06	1.67651E-05	0.000843953	0.060488511	0.123099578	0.091781983	0.102871155	0.144271471	0.205621606	0.28925257	Neotropic
40584	Acrobates pygmaeus	Diprotodontia	Acrobatidae	Acrobates	Least Concern	LC	2	31.953	99	0	LC	Non-threatened	1204391	0.188780886	2.99616E-05	0.000133212	0.013316568	0.292491615	0.628288597	0.084072355	0.1067915	0.316795319	0.832635373	0.905050978	Australasia
512	Addax nasomaculatus	Cetartiodactyla	Bovidae	Addax	Critically Endangered	CR	1	276	198	0	CR	Threatened	33982	0.999852863	0.513832051	0.971913725	1	1	1	0.514666569	0.972075427	1	1	1	Palearctic
15595	Aegialomys galapagoensis	Rodentia	Cricetidae	Aegialomys	Vulnerable	VU	3	26.319	22.286	0	VU	Threatened													
15616	Aegialomys xanthaeolus	Rodentia	Cricetidae	Aegialomys	Least Concern	LC	5	27.248	23.524	0	LC	Non-threatened	259746	0.07103093	1.10903E-06	1.62529E-05	0.003308879	0.074188724	0.139240582	0.096407539	0.108556014	0.191719934	0.750026047	0.914345226	Neotropic
548	Aepeomys lugens	Rodentia	Cricetidae	Aepeomys	Least Concern	LC	3	22.5	22.522	0	LC	Non-threatened	9553	0	2.23064E-06	1.05141E-05	0.000374792	0.003560836	0.005002011						Neotropic
136484	Aepeomys reigi	Rodentia	Cricetidae	Aepeomys	Vulnerable	VU	3	24.369	24.452	1	VU	Threatened	13103	0.000915821	1.32848E-07	3.10219E-06	0.000614314	0.005793918	0.00711271	0.030940257	0.031309019	0.036041552	0.037794372	0.038066396	Neotropic
550	Aepyceros melampus	Cetartiodactyla	Bovidae	Aepyceros	Least Concern	LC	2	196.74	167	0	LC	Non-threatened	3335063	0.084990598	1.98231E-06	1.08593E-05	0.003549579	0.086472347	0.173362604	0.091380072	0.110491917	0.18988882	0.43691954	0.660242319	Afrotropic
40558	Aepyprymnus rufescens	Diprotodontia	Potoroidae	Aepyprymnus	Least Concern	LC	3	22.9	162.535	0	LC	Non-threatened	568683	0.190389022	0.000166418	0.000892501	0.026604727	0.232787815	0.413315371	0.095920436	0.113939889	0.248035714	0.707503557	0.805544496	Australasia
555	Aeretes melanopterus	Rodentia	Sciuridae	Aeretes	Near Threatened	NT	1	47.626	63.84	0	NT	Non-threatened	56405	0.119156103	5.69996E-05	0.000337752	0.015235328	0.160643244	0.472858882	0.111612372	0.127016306	0.391628593	0.656225204	0.711622	Palearctic
556	Aeromys tephromelas	Rodentia	Sciuridae	Aeromys	Data Deficient	DD	1	64.793	76.696	0	DD	Data deficient	363161	0.123058368	1.03884E-08	1.04557E-06	0.004492815	0.162646115	0.338211179	0.12810926	0.143735538	0.264340967	0.747474623	0.865472278	Indomalayan
557	Aeromys thomasi	Rodentia	Sciuridae	Aeromys	Least Concern	LC	3	62.397	77.29	0	LC	Non-threatened	447770	0.245793599	0.00032638	0.001440889	0.038330181	0.3097242	0.409063794	0.139885728	0.156151676	0.203931421	0.432385361	0.441429213	Indomalayan
136541	Aethalops aequalis	Chiroptera	Pteropodidae	Aethalops	Least Concern	LC	3	152.2	91.739	0	LC	Non-threatened	93620	0.40101474	0.001710414	0.003351651	0.078808594	0.399885297	0.422441565	0.132094784	0.153576717	0.311234087	0.427105999	0.43679029	Indomalayan
565	Aethalops alecto	Chiroptera	Pteropodidae	Aethalops	Least Concern	LC	1	132.91	72.3	0	LC	Non-threatened	148422	0.026182102	2.87971E-08	6.15969E-07	0.002093125	0.024986618	0.06367746	0.120413454	0.137991615	0.19571466	0.406730935	0.418573275	Indomalayan
568	Aethomys bocagei	Rodentia	Muridae	Aethomys	Least Concern	LC	3	28.242	27.165	0	LC	Non-threatened	252472	0.037540797	3.21555E-05	0.000117329	0.003943189	0.064535138	0.087399442	0.100875496	0.113079056	0.150144659	0.270283616	0.302190533	Afrotropic
569	Aethomys chrysophilus	Rodentia	Muridae	Aethomys	Least Concern	LC	6	25.716	27.354	0	LC	Non-threatened	3727434	0.122447507	5.93866E-06	2.80786E-05	0.004881294	0.14559408	0.313525015	0.104682885	0.12183307	0.257699609	0.754983556	0.86050393	Afrotropic
571	Aethomys hindei	Rodentia	Muridae	Aethomys	Least Concern	LC	3	25.716	26.24	0	LC	Non-threatened	2412134	0.173860159	1.5461E-06	2.32098E-05	0.009463034	0.323264691	0.706430513	0.129198038	0.148876806	0.374839678	0.991761243	1	Afrotropic
44990	Aethomys ineptus	Rodentia	Muridae	Aethomys	Least Concern	LC	3	25.716	27.354	0	LC	Non-threatened	594495	0.028922026	6.05318E-07	7.98408E-06	0.001179969	0.02000029	0.039399747	0.043904172	0.05570842	0.105912596	0.248133603	0.285141404	Afrotropic
572	Aethomys kaiseri	Rodentia	Muridae	Aethomys	Least Concern	LC	4	25.716	26.24	0	LC	Non-threatened	1601155	0.063560367	6.89947E-07	7.3563E-06	0.004962051	0.061777437	0.151525845	0.11137995	0.129627146	0.194102719	0.403511313	0.502181846	Afrotropic
574	Aethomys nyikae	Rodentia	Muridae	Aethomys	Least Concern	LC	1	26.117	26.75	0	LC	Non-threatened	732159	0.095189706	1.23947E-05	0.00017387	0.013223828	0.102203518	0.171241632	0.111621031	0.126003066	0.173768349	0.351139075	0.385476366	Afrotropic
567	Aethomys silindensis	Rodentia	Muridae	Aethomys	Data Deficient	DD	2	3.653	27.242	0	DD	Data deficient	19225	0	3.80509E-06	8.48513E-06	0.000339408	0.004985209	0.012619309						Afrotropic
575	Aethomys stannarius	Rodentia	Muridae	Aethomys	Data Deficient	DD	3	29.799	26.876	0	DD	Data deficient	171142	8.76465E-05	1.45308E-07	2.53478E-07	3.97509E-06	0.000377223	0.001314291	0.017324284	0.018043613	0.023811655	0.037862948	0.038208236	Afrotropic
576	Aethomys thomasi	Rodentia	Muridae	Aethomys	Least Concern	LC	1	25.716	26.24	0	LC	Non-threatened	272306	0.024825013	2.89366E-05	8.74627E-05	0.002804449	0.03935401	0.07278212	0.113602399	0.123969319	0.15613059	0.220170194	0.348101778	Afrotropic
712	Ailuropoda melanoleuca	Carnivora	Ursidae	Ailuropoda	Vulnerable	VU	1	131.179	182	0	VU	Threatened	25774	0.304648095	0.002662582	0.005442053	0.05691147	0.500617033	0.582325119	0.117250348	0.130753109	0.366256192	0.617861712	0.647508287	Palearctic
136218	Ailurops melanotis	Diprotodontia	Phalangeridae	Ailurops	Critically Endangered	CR	1	2.13	243.52	1	CR	Threatened	55	0	8.57685E-06	1.47446E-05	9.93122E-05	0.000221367	0.000282884						Australasia
40637	Ailurops ursinus	Diprotodontia	Phalangeridae	Ailurops	Vulnerable	VU	4	23.41	243.52	0	VU	Threatened	178339	0.004788633	1.46356E-06	1.1563E-05	0.003833384	0.018553531	0.033731931	0.082724699	0.130196609	0.376817107	0.539778894	0.572802931	Australasia
714	Ailurus fulgens	Carnivora	Ailuridae	Ailurus	Endangered	EN	1	123.437	136.935	0	EN	Threatened	340041	0.222455527	3.64471E-05	0.00023004	0.01839208	0.351849288	0.652059317	0.124046948	0.143462393	0.3154241	0.839184529	0.900912172	Palearctic
723	Akodon aerosus	Rodentia	Cricetidae	Akodon	Least Concern	LC	4	24.386	21.299	0	LC	Non-threatened	114901	0.392259423	0.000432553	0.001432176	0.065828621	0.424850434	0.829101205	0.132853612	0.149798483	0.299048126	0.923383772	0.987857491	Neotropic
